district_code,fuel_id,reg_year,total_amount
11470,1,2022,79595
11470,2,2022,49828
11470,3,2022,12943
11470,4,2022,607
11470,5,2022,6789
11470,6,2022,1173
11470,7,2022,88
11500,1,2022,103488
11500,2,2022,69804
11500,3,2022,19376
11500,4,2022,361
11500,5,2022,11006
11500,6,2022,1980
11500,7,2022,131
11530,1,2022,69841
11530,2,2022,53284
11530,3,2022,12539
11530,4,2022,346
11530,5,2022,5625
11530,6,2022,3913
11530,7,2022,160
11545,1,2022,42272
11545,2,2022,36348
11545,3,2022,7302
11545,4,2022,379
11545,5,2022,3329
11545,6,2022,662
11545,7,2022,36
11560,1,2022,73350
11560,2,2022,52690
11560,3,2022,9218
11560,4,2022,104
11560,5,2022,7007
11560,6,2022,2498
11560,7,2022,157
11590,1,2022,58851
11590,2,2022,34034
11590,3,2022,6906
11590,4,2022,55
11590,5,2022,5496
11590,6,2022,826
11590,7,2022,91
11620,1,2022,61089
11620,2,2022,40734
11620,3,2022,10264
11620,4,2022,193
11620,5,2022,4863
11620,6,2022,907
11620,7,2022,65
11650,1,2022,99642
11650,2,2022,54307
11650,3,2022,6661
11650,4,2022,506
11650,5,2022,11023
11650,6,2022,3702
11650,7,2022,247
11680,1,2022,136399
11680,2,2022,67994
11680,3,2022,10666
11680,4,2022,260
11680,5,2022,16470
11680,6,2022,12908
11680,7,2022,191
11710,1,2022,130586
11710,2,2022,85428
11710,3,2022,16212
11710,4,2022,821
11710,5,2022,13122
11710,6,2022,2268
11710,7,2022,193
11740,1,2022,77787
11740,2,2022,50900
11740,3,2022,13698
11740,4,2022,200
11740,5,2022,7340
11740,6,2022,1511
11740,7,2022,204
11110,1,2023,26602
11110,2,2023,18093
11110,3,2023,2168
11110,4,2023,112
11110,5,2023,2763
11110,6,2023,907
11110,7,2023,72
11140,1,2023,28520
11140,2,2023,20614
11140,3,2023,2818
11140,4,2023,22
11140,5,2023,3361
11140,6,2023,2152
11140,7,2023,64
11170,1,2023,42277
11170,2,2023,23727
11170,3,2023,3350
11170,4,2023,33
11170,5,2023,4613
11170,6,2023,1201
11170,7,2023,84
11200,1,2023,53315
11200,2,2023,34777
11200,3,2023,6979
11200,4,2023,356
11200,5,2023,5658
11200,6,2023,2239
11200,7,2023,58
11215,1,2023,50461
11215,2,2023,34006
11215,3,2023,7034
11215,4,2023,167
