station_id,station_name,address,fast_charger,slow_charger,district_code
145,개봉영화 아파트,서울특별시 구로구 개봉동 475,1,1,11530
146,고척LIG리가 아파트,서울특별시 구로구 고척동 340,1,2,11530
147,고척근린공원 지하주차장,서울특별시 구로구 고척로 45길 39,1,0,11530
148,고척스카이돔,서울특별시 구로구 고척동 63-6,3,0,11530
149,고척파크푸르지오,서울특별시 구로구 고척동 339,1,3,11530
150,구로4동 주택가 공동,서울특별시 구로구 구로동 741-44,1,0,11530
151,구로구청 주차장,서울특별시 구로구 구로동 435,1,0,11530
152,구로리공원,서울특별시 구로구 구로동 139-82,1,0,11530
153,구로삼성래미안,서울특별시 구로구 구로동 256-1,1,2,11530
154,구로성호메이플라워,서울특별시 구로구 구로동 가마산로 283,0,2,11530
155,구로아트밸리 지하1층,서울특별시 구로구 구로동 102,1,0,11530
156,구로아트밸리 지하2층,서울특별시 구로구 구로동 102,1,0,11530
157,구로중앙하이츠아파트,서울특별시 구로구 구로동 1269,0,2,11530
158,근상프리즘아파트,서울특별시 구로구 구로동 1283,0,1,11530
159,동아한신아파트,서울특별시 구로구 고척동 327,1,2,11530
160,롯데 아파트,서울특별시 구로구 구로동 1263,1,1,11530
161,신구로자이 아파트,서울특별시 구로구 구로동 501,0,2,11530
162,신도림7차e-편한세상아파트,서울특별시 구로구 신도림동 신도림로 56-13,0,3,11530
163,신도림동아1차 아파트,서울특별시 구로구 신도림로 87,1,3,11530
164,오류푸르지오,서울특별시 구로구 오류동 346,1,1,11530
165,천왕연지타운1단지,서울특별시 구로구 오류동 오류로 30,1,2,11530
166,천왕이펜하우스2단지,서울특별시 구로구 천왕동 천왕로 92,1,3,11530
167,천왕이펜하우스4단지 아파트,서울특별시 구로구 천왕동 천왕로 29,1,2,11530
168,천왕이펜하우스5단지,서울특별시 구로구 천왕동 천왕로 10,1,3,11530
169,하늘공원 공영주차장,서울특별시 구로구 가리봉동 1-11,1,0,11530
170,항동하버라인3단지,서울특별시 구로구 항동 242,0,10,11530
171,금나래체육문화센타,서울특별시 금천구 독산동 1148,1,0,11545
172,금천구청 지상 주차장,서울특별시 금천구 시흥동 1020,1,0,11545
173,남서울힐스테이트아파트,서울특별시 금천구 시흥동 시흥대로 165,2,2,11545
174,메이퀸 웨딩홀,서울특별시 금천구 독산동 152-1,2,0,11545
175,지식산업센터(대륭테크노타운2차),서울특별시 금천구 가산디지털1로 33-33,1,0,11545
176,공릉2단지라이프 아파트,서울특별시 노원구 공릉동 708,1,0,11350
177,공릉대동 아파트,서울특별시 노원구 공릉동 동일로175길 38,0,1,11350
178,공릉동부 아파트,서울특별시 노원구 공릉동 공릉로 206,0,2,11350
179,공릉동현대성우 아파트,서울특별시 노원구 공릉동 공릉로27길 110,0,2,11350
180,공릉풍림아파트,서울특별시 노원구 공릉동 섬밭로 139,1,2,11350
181,노원구청,서울특별시 노원구 상계동 701-1,1,0,11350
182,노원도봉지사,서울특별시 노원구 상계동 700,1,4,11350
183,노원우성아파트,서울특별시 노원구 상계동 상계로7길 18,0,2,11350
184,노원프레미어스엠코,서울특별시 노원구 공릉동 670-20,0,2,11350
185,동신 아파트,서울특별시 노원구 공릉동 공릉로 213,1,1,11350
186,동진신안 아파트,서울특별시 노원구 중계동 364,1,1,11350
187,롯데우성 아파트,서울특별시 노원구 중계동 361-1,1,0,11350
188,미주동방벽운 아파트,서울특별시 노원구 상계동 1265,0,2,11350
189,북서울시립미술관,서울특별시 노원구 중계동 508,4,0,11350
190,삼육대학교,서울특별시 노원구 공릉동 26-21,2,0,11350
191,상계동아불암아파트,서울특별시 노원구 상계동 1285,1,2,11350
192,상계동양 아파트,서울특별시 노원구 상계동 상계로5길 12,1,2,11350
193,상계신동아 아파트,서울특별시 노원구 상계동 한글비석로52길 66,1,2,11350
194,상계주공15단지,서울특별시 노원구 상계동 652,2,0,11350
195,상계주공16단지아파트,서울특별시 노원구 상계동 624,1,1,11350
196,서울과학기술대학교,서울특별시 노원구 공릉동 172,4,0,11350
197,수락리버시티3단지,서울특별시 노원구 상계동 누원로 28,1,1,11350
198,월계청백1단지 아파트,서울특별시 노원구 월계동 초안산로 89,1,2,11350
199,인재개발원,서울특별시 노원구 노원길 130,1,1,11350
200,인재개발원(공용),서울특별시 노원구 공릉동 170-2,0,2,11350
201,중계건영3차아파트,"서울특별시 노원구 노원로22길 71 (중계동, 건영3차아파트)",1,1,11350
202,중계경남롯데상아 아파트,"서울특별시 노원구 섬밭로 265 (중계동, 경남,롯데,상아아파트)",2,0,11350
203,중계삼성 아파트,서울특별시 노원구 중계동 593,1,2,11350
204,중계센트럴파크,"서울특별시 노원구 덕릉로70가길 21 (상계동, 중계센트럴파크)",1,0,11350
205,중계우성3차아파트,서울특별시 노원구 중계동 덕릉로 613,0,2,11350
206,중계주공4단지 아파트,서울특별시 노원구 중계동 덕릉로76길 29,1,3,11350
207,중계현대2차 아파트,서울특별시 노원구 한글비석로 15길 51,0,1,11350
208,학여울청구 아파트,서울특별시 노원구 하계동 동일로207길 186,1,4,11350
209,한국원자력의학원,서울특별시 노원구 공릉동 215-4,1,0,11350
210,현대그린 아파트,서울특별시 노원구 중계동 중계로8길 39,0,2,11350
211,화랑타운,서울특별시 노원구 공릉동 화랑로51길 17,1,2,11350
212,대상타운현대아파트,서울특별시 도봉구 방학동 720-1,1,2,11320
213,도깨비시장 공영주차장,서울특별시 도봉구 방학동 632-1,1,0,11320
214,도봉서원 아파트,서울특별시 도봉구 도봉동 641-1,2,0,11320
215,도봉현대성우 아파트,서울특별시 도봉구 마들로 735-8,1,1,11320
216,동아청솔아파트,서울특별시 도봉구 창동 808,2,3,11320
217,방학3동 주민센터,서울특별시 도봉구 방학동 498-16,1,0,11320
218,방학5단지 신동아 아파트,서울특별시 도봉구 방학동 방학로12길 53,0,2,11320
219,방학극동 아파트,서울특별시 도봉구 시루봉로 11길 25-8,1,0,11320
220,방학금광포란재,서울특별시 도봉구 방학동 도봉로150바길 26,0,2,11320
221,방학명품ESA2단지,서울특별시 도봉구 방학동 716-5,0,2,11320
222,방학우성1차 아파트,서울특별시 도봉구 방학동 해등로 286-5,1,3,11320
223,북한산코오롱하늘채 아파트,서울특별시 도봉구 우이천로 367,1,2,11320
224,서울가든 아파트,서울특별시 도봉구 도봉동 도봉산길 35,1,2,11320
225,서울북부지검,서울특별시 도봉구 도봉동 626-20,4,0,11320
226,쌍문미라보아파트,"서울특별시 도봉구 시루봉로2길 62 (쌍문동, 쌍문미라보아파트)",0,1,11320
227,쌍문염광 아파트,서울특별시 도봉구 쌍문동 우이천로30길 28,0,2,11320
228,쌍문한양6차 아파트,서울특별시 도봉구 시루봉로 58,1,3,11320
229,창3동 주민센터,서울특별시 도봉구 창동 462-2,1,0,11320
230,창동2차현대아파트,서울특별시 도봉구 창동 도봉로136길 111,1,2,11320
231,창동3차현대아파트,서울특별시 도봉구 창동 도봉로 428,0,2,11320
232,창동대동 아파트,서울특별시 도봉구 창동 도봉로 642-30,0,2,11320
233,창동대우아파트,"서울특별시 도봉구 덕릉로63가길 43 (창동, 창동대우아파트)",1,0,11320
234,창동쌍용 아파트,서울특별시 도봉구 창동 마들로 551,1,0,11320
235,창동주공18단지아파트,"서울특별시 도봉구 노해로70길 126 (창동, 주공18단지아파트)",1,0,11320
236,창동한승미메이드 아파트,서울특별시 도봉구 덕릉로 60길 164-13,1,1,11320
237,창동한신 아파트,서울특별시 도봉구 창동 덕릉로60바길 21,0,1,11320
238,한일병원,서울특별시 도봉구 쌍문동 388-1,1,0,11320
239,효성하이타운,서울특별시 도봉구 방학동 방학로11길 33,0,2,11320
240,답십리래미안위브1블럭,서울특별시 동대문구 답십리로 130,1,2,11230
241,답십리래미안위브2블럭,서울특별시 동대문구 답십리로 130,1,2,11230
242,동답 공영주차장,서울특별시 동대문구 답십리동 2-283,1,0,11230
243,동일스위트리버,서울특별시 동대문구 휘경동 366,1,0,11230
244,래미안엘파인 아파트,서울특별시 동대문구 답십리동 1000,1,2,11230
245,배봉공영주차장,서울특별시 동대문구 휘경동 286-66,2,0,11230
246,브라운스톤휘경,서울특별시 동대문구 휘경동 368,1,0,11230
247,이문쌍용아파트,서울특별시 동대문구 이문동 64,1,2,11230
248,장안힐스테이트 아파트,서울특별시 동대문구 장안동 329-2,1,2,11230
249,장영당길 공영주차장,서울특별시 동대문구 답십리동 484-45,2,0,11230
250,전농sk 아파트,서울특별시 동대문구 전농동 10,2,0,11230
251,청량리역사(한화역사),"서울특별시 동대문구 왕산로 214 (전농동, 청량리역,롯데백화점)",2,0,11230
252,청솔우성,서울특별시 동대문구 답십리동 80,1,1,11230
253,회기동 공영주차장,서울특별시 동대문구 회기동 1-1,2,0,11230
254,휘경베스트빌현대,서울특별시 동대문구 휘경동 52,1,1,11230
255,휘경주공1단지,서울특별시 동대문구 휘경동 57,1,4,11230
256,힐스테이트청계,서울특별시 동대문구 답십리동 465-18,1,0,11230
257,관악동작지사,서울특별시 동작구 동작대로 19,1,5,11590
258,대방성원 아파트,서울특별시 동작구 대방동 여의대방로44길 9,1,2,11590
259,대방중간집하장 공영주차장,서울특별시 동작구 대방동 67-1,1,0,11590
260,대우유로카운티,서울특별시 동작구 상도동 양녕로 287,0,1,11590
261,동작상떼빌 아파트,서울특별시 동작구 신대방동 신대방1가길 38,1,3,11590
262,래미안상도3차아파트,서울특별시 동작구 대방동 상도로 53길 8,1,1,11590
263,보라매아카데미타워 아파트,서울특별시 동작구 신대방동 보라매로5가길 16,0,2,11590
264,빙수골 장미주차장,서울특별시 동작구 상도동 301-132,1,0,11590
265,사당롯데캐슬샤인,서울특별시 동작구 사당동 사당로27길 190,1,1,11590
266,상도대림 아파트,서울특별시 동작구 상도동 상도로60길 20,0,1,11590
267,상도래미안1차 아파트,서울특별시 동작구 상도동 등용로 37,1,1,11590
268,상도파크자이,서울특별시 동작구 상도동 장승배기로 11,1,1,11590
269,서울시여성가족재단,서울특별시 동작구 대방동 345-1,1,0,11590
270,숲속마을신동아파밀리에,서울특별시 동작구 신대방동 여의대방로10길 100,0,2,11590
271,신대방현대 아파트,서울특별시 동작구 신대방동 여의대방로 28,1,1,11590
272,이수힐스테이트,서울특별시 동작구 동작동 동작대로39길 22,1,1,11590
273,흑석한강센트레빌,서울특별시 동작구 흑석동 흑석한강로 2,1,3,11590
274,힐스테이트상도프레스티지,서울특별시 동작구 상도동 상도로 346-2,1,1,11590
275,e편한세상마포리버파크,서울특별시 마포구 용강동 토정로31길 24,1,3,11440
276,공덕아이파크아파트,"서울특별시 마포구 만리재로 36 (신공덕동, 공덕 아이파크)",0,2,11440
277,대명 아파트,서울특별시 마포구 연남동 동교로39길 11,0,1,11440
278,래미안마포리버웰,서울특별시 마포구 용강동 토정로31길 23,1,3,11440
279,래미안밤섬리베뉴1 아파트,서울특별시 마포구 상수동 독막로20나길 22,1,2,11440
280,래미안밤섬리베뉴2,서울특별시 마포구 상수동 독막로20나길 21,1,3,11440
281,롯데캐슬프레지던트,서울특별시 마포구 공덕동 마포대로 109,0,1,11440
282,마포대림1차 아파트,서울특별시 마포구 용강동 마포대로1길 21,0,2,11440
283,마포도화우성아파트,서울특별시 마포구 도화동 삼개로 38,1,1,11440
284,마포래미안푸르지오 1단지,서울특별시 마포구 아현동 마포대로 195,1,3,11440
285,마포래미안푸르지오 2단지,서울특별시 마포구 아현동 마포대로 195,1,4,11440
286,마포래미안푸르지오 3단지,서울특별시 마포구 아현동 마포대로 195,1,3,11440
287,마포래미안푸르지오 4단지,서울특별시 마포구 아현동 마포대로 195,1,4,11440
288,마포용산지사,서울특별시 마포구 도화동 51-3,2,5,11440
289,마포자이2차아파트,서울특별시 마포구 대흥동 804,1,0,11440
290,마포중앙도서관,서울특별시 마포구 성산동 275-3,2,0,11440
291,마포트라팰리스2차,서울특별시 마포구 아현동 738,0,2,11440
292,마포한강2차 푸르지오아파트,서울특별시 마포구 합정동 473,0,5,11440
293,마포한강푸르지오1차,"서울특별시 마포구 월드컵로1길 14 (합정동, 마포 한강 푸르지오)",0,3,11440
294,메세나폴리스 아파트,서울특별시 마포구 양화로 45,1,3,11440
295,브라운스톤공덕 아파트,서울특별시 마포구 신공덕동 백범로 230,0,2,11440
296,상암월드컵경기장,서울특별시 마포구 성산동 531,7,3,11440
297,상암월드컵파크3단지,서울특별시 마포구 상암동 월드컵로 338,1,2,11440
298,서울서부지방검찰청,서울특별시 마포구 공덕동 105-1,1,0,11440
299,서울신용보증재단,서울특별시 마포구 공덕동 168,1,0,11440
300,성지(주상복합) 아파트,서울특별시 마포구 도화동 큰우물로 75,0,2,11440
301,신공덕3삼성래미안,서울특별시 마포구 신공덕동 만리재로 60,0,2,11440
302,신촌포스빌,서울특별시 마포구 노고산동 1-3,1,1,11440
303,쌍용황금,서울특별시 마포구 마포동 마포대로 6,1,0,11440
304,중부전력지사,서울특별시 마포구 합정동 55-1,0,2,11440
305,창전삼성 아파트,서울특별시 마포구 창전동 서강로 95,1,0,11440
306,한강삼성 아파트,서울특별시 마포구 토정동 토정로32길 11,1,1,11440
307,DMC래미안e편한세상,서울특별시 서대문구 북가좌동 481,1,4,11410
308,DMC센트럴아이파크아파트,서울특별시 서대문구 남가좌동 388,0,6,11410
309,DMC아이파크 아파트,서울특별시 서대문구 북가좌동 458,1,0,11410
310,남가좌삼성 아파트,서울특별시 서대문구 남가좌동 377,1,1,11410
311,돈의문센트레빌 아파트,서울특별시 서대문구 냉천동 261,1,1,11410
312,무악청구2차 아파트,서울특별시 서대문구 홍제동 453-1,0,1,11410
313,서부수도사업소,서울특별시 서대문구 홍제동 38-69,3,0,11410
314,연세대학교,서울특별시 서대문구 신촌동 134,3,0,11410
315,연세세브란스 에비슨의생명 연구센터,서울특별시 서대문구 신촌동 134,2,0,11410
316,연희대우 아파트,서울특별시 서대문구 연희동 739,0,3,11410
317,연희동 홍연2교 옆 노상주차장,서울특별시 서대문구 연희동 736,1,0,11410
318,연희동성원아파트,"서울특별시 서대문구 연희로32길 48 (연희동, 연희동성원아파트)",1,0,11410
319,인왕산한신휴플러스,서울특별시 서대문구 홍제동 469,0,2,11410
320,홍은1동 제4공영주차장,서울특별시 서대문구 홍은동 11-23,1,0,11410
321,LH서초4단지 아파트,서울특별시 서초구 우면동 788,0,2,11650
322,LH서초5단지,서울특별시 서초구 우면동 368-1,1,2,11650
323,강남전력지사,서울특별시 서초구 서초동 1355,0,1,11650
324,구룡공원 공영주차장,서울특별시 서초구 양재동 399,1,0,11650
325,국립 중앙도서관,서울특별시 서초구 반포동 산 94-1,2,0,11650
326,남서울농협 하나로마트 우면점,서울특별시 서초구 우면동 763,1,0,11650
327,대한무역투자진흥공사,서울특별시 서초구 염곡동 300-9,2,0,11650
328,동산마을 공영주차장,서울특별시 서초구 양재동 370-5,1,0,11650
329,래미안서초7차 아파트,서울특별시 서초구 서초동 1642-34,0,2,11650
330,래미안서초스위트 아파트,서울특별시 서초구 서초동 1301-6,1,2,11650
331,롯데캐슬헤론,서울특별시 서초구 방배동 754-1,1,2,11650
332,리첸시아방배,서울특별시 서초구 방배동 755-14,0,2,11650
333,반포동방음언덕형 공영주차장,서울특별시 서초구 반포동 730-2,1,0,11650
334,반포리체 아파트,서울특별시 서초구 반포동 30-26,1,4,11650
335,반포미도아파트,서울특별시 서초구 반포동 60-4,1,0,11650
336,방배1차 e편한세상,서울특별시 서초구 방배동 884-2,0,2,11650
337,방배3차e편한세상,서울특별시 서초구 방배동 797-30,0,2,11650
338,방배동부센트레빌 아파트,서울특별시 서초구 방배동 3275,0,2,11650
339,방배롯데캐슬아르떼,서울특별시 서초구 방배동 424-28,0,6,11650
340,방배롯데캐슬포레스트,서울특별시 서초구 방배동 844-1,0,2,11650
341,삼창골든빌리지 입주자대표회의,서울특별시 서초구 반포동 동광로32길 7,0,2,11650
342,서울시립어린이병원,서울특별시 서초구 내곡동 6-7,1,0,11650
343,서초2차e편한세상아파트,서울특별시 서초구 서초동 1529,0,3,11650
344,서초경남아너스빌201동,서울특별시 서초구 서초동 1456-2,0,1,11650
345,서초네이처힐1단지,서울특별시 서초구 우면동 707,0,2,11650
346,서초네이처힐6단지,서울특별시 서초구 우면동 737,1,2,11650
