"faq_id","questions","answers"
31,서울시 우선순위 배정물량 대상은?,"서울시 전기차 공문 참조('25년 상반기 기준 전기승용차 600대, 전기화물차 50대) 
(우선순위대상) 취약계층(장애인, 차상위 이하 계층), 상이·독립 유공자, 소상공인, 다자녀 가구, 생애최초 차량 구매자, 기존 노후 경유차를 폐차하고 전기차로 대체하려는 자, 어린이 통학목적 차량 구매자 등"
32,전기차 구매보조금 이외에 추가보조금 해당 사항은? (승용 화물만 해당),"■ 전기승용 - 공통
- 차상위 이하계층 구매 시: 국비 지원액의 20% 추가 지원
- 청년 생애 최초 구매자: 국비 지원액의 20% 추가 지원
  (청년 기준: 청년기본법 제3조, 만 19세 이상 34세 이하)

■ 전기승용 - 중형·대형·소형
- 다자녀 가구 개인 구매 시 (18세 이하 자녀 기준)
  · 2명: 국비 100만원 추가 / 3명: 200만원 추가 / 4명 이상: 300만원 추가
  (다자녀 가구: 2명 이상 자녀를 출산 또는 입양한 가구)
- 노후 전기차 폐차 후 재구매 시: 국비 20만원 추가 지원
  (BMS 안전기능 업데이트 불가 차량에 한함)
- BMS 이상 알림 기능 4년 이상 무상제공 + 사용자 이용 동의 시: 시비 보조금의 20% 추가 지원
  (주차 상태에서 24시간 이상 배터리 이상 감지 시 한정)

■ 전기승용 - 초소형
- 도심 내 영업용(배달·관광 등) 및 단거리 교통수단 등 지역거점사업 목적 구매 시: 국비 50만원 추가 지원

■ 전기화물 - 소형·경형·초소형
- 소상공인·차상위 이하계층 구매 시: 국비 지원액의 30% 추가 지원
- 농업인 구매 시: 국비 지원액의 10% 추가 지원
- 택배용 차량으로 구매 시: 국비 지원액의 10% 추가 지원
  · 기존 경유화물차 폐차 후 전기화물차 출고일 기준 6개월간 택배업 허가 유지 시에만 지급
  · 택배업 유지 여부는 보조금 지급일로부터 6개월 후 확인
  · 소상공인 30% 추가지원금과 중복 지원 가능
  · 택배용 차량: 화물자동차법 제2조제3호에 따른 화물 집화·분류·배송 운송사업 차량
- 경유화물차 보유자 중 폐차 미이행자: 성능보조금 50만원 차감
- 경유화물차 보유자 중 폐차 이행자: 50만원 추가 지원
  · 조기폐차 지원금 수령자는 20만원만 추가 지원
  · 경유화물차 미보유자는 해당 없음
  · '23년 전기차 보조금 업무처리지침 시행 이후 폐차건부터 적용

■ 전기화물 - 초소형
- 도심 내 영업용(배달·관광 등) 및 단거리 교통수단 등 지역거점사업 목적 구매 시: 국비 50만원 추가 지원"
33,추가보조금 해당 사항 확인 방법 및 제출서류는?,"추가보조금 신청시 하단 추가서류 제출 필수 (공고 참조)

(장애인) 장애인등록증
(기존 노후 전기차 폐차 후 재구매) 자동차등록말소 사항이 기재된 자동차등록원부(갑)또는 자동차말소사실증명서 * 환경부 노후전기차 대상차종 미지정으로 현재 지급 불가 
(BMS 알림기능 탑재 추가 보조금) 배터리관리시스템 알림 정보제공 동의서 또는 배터리 관리시스템 알림체계 가입확약서(공고 별지 10호)
(차상위 이하 계층) 차상위 계층 증명서, 기초생활 수급자 증명서
(소상공인) 소상공인 증명서[중소벤처기업부 발급]
(지역거점사업 참여 신청서) 별지 제3호 서식
(상이·독립유공자) 국가유공자 등록증 또는 그 외 증빙 가능한 서류
(다자녀) 가족관계증명서(자녀 중 한 명 이상이 만18세 이하인 자녀 2명 이상 가구)
(경유화물차 대체 구매) 조기폐차 대상자 확인서 또는 말소 사실 증명서(폐차)
(농업인) 농업영경체등록환인서(또는 증명서), 농업인 확인서
(생애 최초 차량 구매자) 출생년도 ~ 현재까지 지방세 세목별 미과세증명서(취득세(차량), 자동차세(자동차), 등록세(차량) 제출( 초본상 이전 주소지 포함, 주소지(기간)별 발급) , 주민등록초본(이전 주소지 확인 목적) * 위택스 통해 발급 가능
(전기화물차 대량구매자 사업계획서) 초소형 전기화물차 5대 이상 구매자(별지 4호서식)

(택배) 화물자동차 운송사업 허가증추가지원 대상(6개월 후) - 국토교통부 인정한 택배운송사업자와 운송계약서 사본 (계약기간 명시) 및 통장사본

(어린이통학 버스) 어린이통학버스 신고필증, 이행보증보험증권, 자부담금 확인서(대형)
(통근·순환 버스) 통근·순환버스 사용 확약서, 이행보조보험증권, 자부담금 확인서(대형)
(서울시 제작사 할인 참여대상 화물차량) 전기자동차 제조·수입사 할인 구매 확인서
* 차량 구매계약서에 할인금액이 명시되어야 함."
34,화물차 영업용 번호판 문의는?,영업용번호판 업무에 관하여는 각 구청의 번호판 등록 관련 부서(교통행정과 등)로 문의 바람
35,개인사업자 사업자등록증명원 발급방법은?,"국세청 홈텍스 > 민원증명신청 > 사업자등록증명
(개인사업자) 신청일 기준 사업자등록증명원 30일 이내에 발급한 서류"
36,공동명의자도 다음 전기차 구매시 제한이 적용되는지?,재지원제한기간은 신청자인 대표명의자(주명의자)만 적용됨
37,보조금 지원신청 이후 차종이 변경되는 경우는?,취소 후 재접수 (옵션변경 제외)
38,"전기차 의무운행기간(2년 이내) 판매시, 의무운행기간(8년 이내) 수출말소시 승인 방법은?","(판매승인) 해당차량의 최초등록일 기준(자동차등록원부에서 확인가능) 2년 이내에 차량 판매시 서울시 판매승인을 받아야 하며, 서울시의 판매승인 알림공문을 지참해야 구청에서 명의이전 처리가능

판매승인은 https://news.seoul.go.kr/env/sale_apprval(서울시 누리집)에서 신청 가능


의무운행기간 준수 동의서 작성 후 신청 시 첨부"
39,보조금 지원 불가 차량은?,"보급사업 공고일 이전 차량 출고한 경우와 서울시의 자격부여 및 대상자 확정 없이 차량을 출고한 경우는 보조금 지원이 되지 않음
또한 신규등록차량이 아닌 부활차의 경우 보조금 지급 대상이 아님"
40,EV 충전소란?,"EV 충전소는 전기 자동차의 에너지 보충 지점으로, 전통적인 자동차의 주유소와 유사합니다. 레벨 1(표준 콘센트), 레벨 2(더 빠르고 일반적으로 240V), DC 고속 충전기(장거리 여행에 가장 빠름) 등 다양한 유형이 있습니다."
